,precision,recall,f1-score,support
3pietro_1,1.0,1.0,1.0,3.0
3pietro_10,1.0,1.0,1.0,3.0
3pietro_100,1.0,1.0,1.0,3.0
3pietro_101,1.0,1.0,1.0,3.0
3pietro_102,1.0,1.0,1.0,3.0
3pietro_103,1.0,1.0,1.0,3.0
3pietro_104,1.0,1.0,1.0,3.0
3pietro_105,0.5,1.0,0.6666666666666666,3.0
3pietro_106,1.0,1.0,1.0,3.0
3pietro_11,1.0,1.0,1.0,3.0
3pietro_12,1.0,1.0,1.0,3.0
3pietro_13,1.0,1.0,1.0,3.0
3pietro_14,1.0,1.0,1.0,3.0
3pietro_15,1.0,1.0,1.0,3.0
3pietro_16,1.0,0.6666666666666666,0.8,3.0
3pietro_17,0.75,1.0,0.8571428571428571,3.0
3pietro_18,1.0,1.0,1.0,3.0
3pietro_19,1.0,1.0,1.0,3.0
3pietro_2,1.0,1.0,1.0,3.0
3pietro_20,1.0,1.0,1.0,3.0
3pietro_21,1.0,1.0,1.0,3.0
3pietro_22,1.0,1.0,1.0,3.0
3pietro_23,1.0,1.0,1.0,3.0
3pietro_24,1.0,1.0,1.0,3.0
3pietro_25,1.0,1.0,1.0,3.0
3pietro_26,1.0,1.0,1.0,3.0
3pietro_27,1.0,1.0,1.0,3.0
3pietro_28,1.0,1.0,1.0,3.0
3pietro_29,1.0,1.0,1.0,3.0
3pietro_3,0.0,0.0,0.0,3.0
3pietro_30,1.0,1.0,1.0,3.0
3pietro_31,1.0,1.0,1.0,3.0
3pietro_32,1.0,1.0,1.0,3.0
3pietro_33,1.0,1.0,1.0,3.0
3pietro_34,1.0,1.0,1.0,3.0
3pietro_35,1.0,0.6666666666666666,0.8,3.0
3pietro_36,0.6,1.0,0.7499999999999999,3.0
3pietro_37,1.0,1.0,1.0,3.0
3pietro_38,1.0,1.0,1.0,3.0
3pietro_39,1.0,0.3333333333333333,0.5,3.0
3pietro_4,1.0,0.6666666666666666,0.8,3.0
3pietro_40,1.0,1.0,1.0,3.0
3pietro_41,1.0,1.0,1.0,3.0
3pietro_42,1.0,1.0,1.0,3.0
3pietro_43,1.0,1.0,1.0,3.0
3pietro_44,1.0,1.0,1.0,3.0
3pietro_45,1.0,1.0,1.0,3.0
3pietro_46,1.0,1.0,1.0,3.0
3pietro_47,1.0,1.0,1.0,3.0
3pietro_48,1.0,1.0,1.0,3.0
3pietro_49,1.0,1.0,1.0,3.0
3pietro_5,1.0,1.0,1.0,3.0
3pietro_50,1.0,0.6666666666666666,0.8,3.0
3pietro_51,0.75,1.0,0.8571428571428571,3.0
3pietro_52,1.0,1.0,1.0,3.0
3pietro_53,1.0,1.0,1.0,3.0
3pietro_54,1.0,1.0,1.0,3.0
3pietro_55,1.0,1.0,1.0,3.0
3pietro_56,1.0,1.0,1.0,3.0
3pietro_57,1.0,1.0,1.0,3.0
3pietro_58,1.0,1.0,1.0,3.0
3pietro_59,1.0,1.0,1.0,3.0
3pietro_6,1.0,1.0,1.0,3.0
3pietro_60,1.0,1.0,1.0,3.0
3pietro_61,1.0,1.0,1.0,3.0
3pietro_62,1.0,1.0,1.0,3.0
3pietro_63,1.0,1.0,1.0,3.0
3pietro_64,1.0,1.0,1.0,3.0
3pietro_65,1.0,1.0,1.0,3.0
3pietro_66,1.0,1.0,1.0,3.0
3pietro_67,1.0,1.0,1.0,3.0
3pietro_68,1.0,1.0,1.0,3.0
3pietro_69,1.0,1.0,1.0,3.0
3pietro_7,1.0,1.0,1.0,3.0
3pietro_70,0.6,1.0,0.7499999999999999,3.0
3pietro_71,1.0,0.6666666666666666,0.8,3.0
3pietro_72,1.0,1.0,1.0,3.0
3pietro_73,1.0,1.0,1.0,3.0
3pietro_74,1.0,1.0,1.0,3.0
3pietro_75,1.0,1.0,1.0,3.0
3pietro_76,1.0,1.0,1.0,3.0
3pietro_77,1.0,1.0,1.0,3.0
3pietro_78,1.0,1.0,1.0,3.0
3pietro_79,1.0,1.0,1.0,3.0
3pietro_8,0.5,1.0,0.6666666666666666,3.0
3pietro_80,1.0,1.0,1.0,3.0
3pietro_81,1.0,1.0,1.0,3.0
3pietro_82,1.0,1.0,1.0,3.0
3pietro_83,1.0,1.0,1.0,3.0
3pietro_84,1.0,1.0,1.0,3.0
3pietro_85,1.0,1.0,1.0,3.0
3pietro_86,1.0,1.0,1.0,3.0
3pietro_87,1.0,1.0,1.0,3.0
3pietro_88,0.75,1.0,0.8571428571428571,3.0
3pietro_89,1.0,1.0,1.0,3.0
3pietro_9,1.0,1.0,1.0,3.0
3pietro_90,1.0,1.0,1.0,3.0
3pietro_91,1.0,1.0,1.0,3.0
3pietro_92,1.0,1.0,1.0,3.0
3pietro_93,1.0,1.0,1.0,3.0
3pietro_94,1.0,1.0,1.0,3.0
3pietro_95,1.0,1.0,1.0,3.0
3pietro_96,1.0,1.0,1.0,3.0
3pietro_97,1.0,0.6666666666666666,0.8,3.0
3pietro_98,1.0,1.0,1.0,3.0
3pietro_99,1.0,0.3333333333333333,0.5,3.0
parter_1,1.0,1.0,1.0,3.0
parter_10,1.0,1.0,1.0,3.0
parter_100,1.0,1.0,1.0,3.0
parter_101,1.0,1.0,1.0,3.0
parter_102,1.0,1.0,1.0,3.0
parter_103,1.0,1.0,1.0,3.0
parter_104,1.0,1.0,1.0,3.0
parter_105,1.0,1.0,1.0,3.0
parter_106,1.0,1.0,1.0,3.0
parter_107,1.0,1.0,1.0,3.0
parter_108,1.0,1.0,1.0,3.0
parter_109,1.0,1.0,1.0,3.0
parter_11,1.0,1.0,1.0,3.0
parter_110,1.0,1.0,1.0,3.0
parter_111,1.0,1.0,1.0,3.0
parter_112,1.0,1.0,1.0,3.0
parter_113,1.0,1.0,1.0,3.0
parter_114,1.0,1.0,1.0,3.0
parter_115,1.0,1.0,1.0,3.0
parter_116,1.0,1.0,1.0,3.0
parter_117,1.0,1.0,1.0,3.0
parter_118,1.0,1.0,1.0,3.0
parter_119,1.0,1.0,1.0,3.0
parter_12,1.0,1.0,1.0,3.0
parter_120,1.0,1.0,1.0,3.0
parter_121,1.0,1.0,1.0,3.0
parter_122,1.0,1.0,1.0,3.0
parter_123,1.0,1.0,1.0,3.0
parter_124,1.0,1.0,1.0,3.0
parter_125,1.0,1.0,1.0,3.0
parter_126,1.0,1.0,1.0,3.0
parter_127,1.0,1.0,1.0,3.0
parter_128,1.0,1.0,1.0,3.0
parter_129,1.0,1.0,1.0,3.0
parter_13,1.0,1.0,1.0,3.0
parter_130,1.0,1.0,1.0,3.0
parter_131,1.0,1.0,1.0,3.0
parter_132,1.0,1.0,1.0,3.0
parter_133,1.0,1.0,1.0,3.0
parter_134,1.0,1.0,1.0,3.0
parter_135,1.0,1.0,1.0,3.0
parter_136,1.0,0.6666666666666666,0.8,3.0
parter_137,1.0,1.0,1.0,3.0
parter_138,1.0,1.0,1.0,3.0
parter_139,1.0,1.0,1.0,3.0
parter_14,1.0,1.0,1.0,3.0
parter_140,1.0,1.0,1.0,3.0
parter_141,1.0,1.0,1.0,3.0
parter_142,0.75,1.0,0.8571428571428571,3.0
parter_143,1.0,1.0,1.0,3.0
parter_144,1.0,1.0,1.0,3.0
parter_15,1.0,1.0,1.0,3.0
parter_16,1.0,1.0,1.0,3.0
parter_17,1.0,1.0,1.0,3.0
parter_18,0.75,1.0,0.8571428571428571,3.0
parter_19,1.0,1.0,1.0,3.0
parter_2,1.0,1.0,1.0,3.0
parter_20,1.0,1.0,1.0,3.0
parter_21,1.0,0.6666666666666666,0.8,3.0
parter_22,1.0,1.0,1.0,3.0
parter_23,1.0,1.0,1.0,3.0
parter_24,1.0,1.0,1.0,3.0
parter_25,1.0,1.0,1.0,3.0
parter_26,1.0,1.0,1.0,3.0
parter_27,1.0,1.0,1.0,3.0
parter_28,1.0,1.0,1.0,3.0
parter_29,1.0,1.0,1.0,3.0
parter_3,1.0,1.0,1.0,3.0
parter_30,1.0,1.0,1.0,3.0
parter_31,1.0,1.0,1.0,3.0
parter_32,1.0,1.0,1.0,3.0
parter_33,1.0,1.0,1.0,3.0
parter_34,1.0,1.0,1.0,3.0
parter_35,1.0,1.0,1.0,3.0
parter_36,1.0,1.0,1.0,3.0
parter_37,1.0,1.0,1.0,3.0
parter_38,1.0,1.0,1.0,3.0
parter_39,1.0,1.0,1.0,3.0
parter_4,0.6,1.0,0.7499999999999999,3.0
parter_40,1.0,1.0,1.0,3.0
parter_41,1.0,1.0,1.0,3.0
parter_42,1.0,1.0,1.0,3.0
parter_43,1.0,1.0,1.0,3.0
parter_44,1.0,1.0,1.0,3.0
parter_45,1.0,1.0,1.0,3.0
parter_46,1.0,1.0,1.0,3.0
parter_47,1.0,1.0,1.0,3.0
parter_48,1.0,1.0,1.0,3.0
parter_49,1.0,1.0,1.0,3.0
parter_5,1.0,0.3333333333333333,0.5,3.0
parter_50,1.0,1.0,1.0,3.0
parter_51,1.0,1.0,1.0,3.0
parter_52,1.0,1.0,1.0,3.0
parter_53,1.0,1.0,1.0,3.0
parter_54,1.0,1.0,1.0,3.0
parter_55,1.0,1.0,1.0,3.0
parter_56,1.0,1.0,1.0,3.0
parter_57,1.0,1.0,1.0,3.0
parter_58,1.0,0.6666666666666666,0.8,3.0
parter_59,1.0,1.0,1.0,3.0
parter_6,1.0,1.0,1.0,3.0
parter_60,1.0,1.0,1.0,3.0
parter_61,0.75,1.0,0.8571428571428571,3.0
parter_62,1.0,1.0,1.0,3.0
parter_63,1.0,1.0,1.0,3.0
parter_64,1.0,1.0,1.0,3.0
parter_65,1.0,1.0,1.0,3.0
parter_66,1.0,1.0,1.0,3.0
parter_67,1.0,1.0,1.0,3.0
parter_68,1.0,1.0,1.0,3.0
parter_69,1.0,1.0,1.0,3.0
parter_7,1.0,1.0,1.0,3.0
parter_70,1.0,1.0,1.0,3.0
parter_71,1.0,1.0,1.0,3.0
parter_72,1.0,1.0,1.0,3.0
parter_73,1.0,1.0,1.0,3.0
parter_74,1.0,0.6666666666666666,0.8,3.0
parter_75,1.0,1.0,1.0,3.0
parter_76,1.0,1.0,1.0,3.0
parter_77,1.0,1.0,1.0,3.0
parter_78,1.0,1.0,1.0,3.0
parter_79,0.75,1.0,0.8571428571428571,3.0
parter_8,1.0,1.0,1.0,3.0
parter_80,1.0,1.0,1.0,3.0
parter_81,0.75,1.0,0.8571428571428571,3.0
parter_82,1.0,1.0,1.0,3.0
parter_83,1.0,1.0,1.0,3.0
parter_84,1.0,1.0,1.0,3.0
parter_85,1.0,1.0,1.0,3.0
parter_86,1.0,1.0,1.0,3.0
parter_87,1.0,1.0,1.0,3.0
parter_88,1.0,1.0,1.0,3.0
parter_89,1.0,1.0,1.0,3.0
parter_9,1.0,1.0,1.0,3.0
parter_90,1.0,0.6666666666666666,0.8,3.0
parter_91,1.0,1.0,1.0,3.0
parter_92,1.0,1.0,1.0,3.0
parter_93,1.0,1.0,1.0,3.0
parter_94,1.0,1.0,1.0,3.0
parter_95,1.0,1.0,1.0,3.0
parter_96,1.0,1.0,1.0,3.0
parter_97,1.0,1.0,1.0,3.0
parter_98,1.0,1.0,1.0,3.0
parter_99,1.0,1.0,1.0,3.0
accuracy,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334
macro avg,0.9792000000000001,0.9733333333333333,0.9709619047619049,750.0
weighted avg,0.9792000000000001,0.9733333333333334,0.9709619047619047,750.0
